Delivery Date,Delivery Hour,Settlement Point Name,Settlement Point Price
10/19/2020,7,LZ_NORTH,38.4275
10/28/2020,22,LZ_WEST,16.0175
10/19/2020,16,LZ_SOUTH,54.4225
10/28/2020,9,LZ_HOUSTON,57.81
10/16/2020,17,LZ_SOUTH,20.4425
10/25/2020,13,LZ_SOUTH,15.4225
10/22/2020,7,LZ_SOUTH,22.8475
10/23/2020,5,LZ_NORTH,22.905
10/8/2020,5,LZ_NORTH,13.35
10/20/2020,10,LZ_SOUTH,26.12
10/31/2020,4,LZ_WEST,-11.2775
10/2/2020,18,LZ_WEST,11.95
10/11/2020,20,LZ_SOUTH,23.28
10/22/2020,23,LZ_NORTH,24.0075
10/27/2020,7,LZ_SOUTH,27.705
10/26/2020,15,LZ_WEST,456.305
10/6/2020,24,LZ_NORTH,12.5625
10/3/2020,13,LZ_SOUTH,18.145
10/12/2020,7,LZ_NORTH,12.8225
10/4/2020,6,LZ_WEST,12.84
10/16/2020,17,LZ_HOUSTON,20.4425
10/17/2020,7,LZ_NORTH,19.1875
10/29/2020,22,LZ_HOUSTON,28.4
10/30/2020,16,LZ_WEST,22.7775
10/4/2020,16,LZ_HOUSTON,196.0075
10/5/2020,18,LZ_HOUSTON,44.96
10/13/2020,16,LZ_WEST,49.005
10/17/2020,5,LZ_WEST,-13.8625
10/27/2020,16,LZ_NORTH,48.01
10/27/2020,15,LZ_NORTH,54.2325
10/1/2020,6,LZ_SOUTH,16.1625
10/19/2020,1,LZ_HOUSTON,25.88
10/25/2020,10,LZ_HOUSTON,17.62
10/18/2020,24,LZ_SOUTH,23.7425
10/2/2020,16,LZ_WEST,6.56
10/7/2020,23,LZ_NORTH,15.39
10/6/2020,15,LZ_NORTH,62.575
10/17/2020,13,LZ_SOUTH,17.1525
10/22/2020,17,LZ_NORTH,66.1775
10/26/2020,21,LZ_HOUSTON,165.565
10/26/2020,20,LZ_HOUSTON,607.5425
10/8/2020,19,LZ_HOUSTON,23.92
10/4/2020,5,LZ_WEST,10.48
10/2/2020,2,LZ_SOUTH,11.86
10/31/2020,23,LZ_WEST,23.1125
10/19/2020,13,LZ_NORTH,40.0775
10/11/2020,21,LZ_WEST,18.995
10/11/2020,2,LZ_HOUSTON,13.6475
10/3/2020,17,LZ_HOUSTON,34.3025
10/18/2020,19,LZ_WEST,25.4525
10/29/2020,16,LZ_SOUTH,13.195
10/21/2020,17,LZ_NORTH,62.7075
10/21/2020,22,LZ_HOUSTON,23.07
10/2/2020,17,LZ_NORTH,16.44
10/28/2020,4,LZ_HOUSTON,28.32
10/6/2020,16,LZ_WEST,43.79
10/5/2020,8,LZ_HOUSTON,14.0775
10/6/2020,15,LZ_WEST,32.47
10/29/2020,3,LZ_NORTH,17.99
10/13/2020,18,LZ_NORTH,49.205
10/17/2020,19,LZ_NORTH,17.5675
10/31/2020,18,LZ_WEST,83.6875
10/4/2020,9,LZ_HOUSTON,12.33
10/5/2020,13,LZ_WEST,3.4725
10/29/2020,21,LZ_NORTH,31.2925
10/12/2020,7,LZ_WEST,-0.4225
10/22/2020,22,LZ_SOUTH,23.6275
10/24/2020,18,LZ_WEST,18.9675
10/18/2020,24,LZ_HOUSTON,24.0075
10/18/2020,7,LZ_SOUTH,11.66
10/14/2020,24,LZ_HOUSTON,17.97
10/20/2020,14,LZ_WEST,-0.385
10/22/2020,9,LZ_HOUSTON,18.8125
10/15/2020,7,LZ_HOUSTON,14.8775
10/11/2020,8,LZ_HOUSTON,2.6225
10/22/2020,12,LZ_NORTH,25.2025
10/20/2020,15,LZ_SOUTH,49.575
10/22/2020,19,LZ_SOUTH,31.06
